OBJECTID,SEGID,SUBAREAID,FAC_WDAVG,aadtAdjFactor,M2019,M2023,M2028,M2032,M2042,M2050,MF2019,MF2023,MF2028,MF2032,MF2042,MF2050,CO_FIPS,PLANAREA,ADJHIST,ADJ2019,ADJ2023,ADJ2028,ADJ2032,ADJ2042,ADJ2050,OV_REV,OV_LTPRV,OV_ZERO,OV_HIADJ,OV_50LT19,OV_503X19,OV_FURREV,NOTES,NOTES_FURREV,FL_REV,FL_LTPRV,FL_ZERO,FL_HIADJ,FL_50LT19,FL_503X19,FL_FURREV,CO_NAME,F_AREA,Shape__Length
1,0006_000.0,0,0.984,289,126,99,101,103,107,111,400,400,400,400,400,400,27,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,1,0,0,Millard,UDOT,1379.20690867972
2,0006_000.7,0,0.984,202,213,216,215,214,214,216,400,400,400,400,400,400,27,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,1,0,0,Millard,UDOT,31801.7430939931
3,0006_016.0,0,0.984,339,76,73,70,67,65,62,400,400,400,400,400,400,27,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,1,0,0,Millard,UDOT,62131.8025051329
4,0006_046.0,0,0.984,296,76,73,70,67,65,62,350,350,350,350,350,350,27,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,1,0,0,Millard,UDOT,29438.4587122702
5,0006_060.2,0,0.984,292,80,76,73,70,68,65,350,350,350,350,350,350,27,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,1,0,0,Millard,UDOT,36000.9728265648
6,0006_077.5,0,0.984,332,201,199,197,191,189,189,550,550,550,500,500,500,27,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,1,0,0,Millard,UDOT,11102.7610051912
7,0006_082.9,0,0.984,518,1473,1553,1531,1494,1435,1454,2000,2100,2000,2000,2000,2000,27,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,0,0,0,Millard,UDOT,2107.63460423064
8,0006_083.9,0,0.9593,930,2643,2812,2773,2736,2643,2633,3600,3700,3700,3700,3600,3600,27,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,0,0,0,Millard,UDOT,4249.33691322942
9,0006_085.9,0,0.9593,554,3019,3261,3218,3152,3062,3038,3600,3800,3800,3700,3600,3600,27,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,0,0,0,Millard,UDOT,3621.80243004756
10,0006_087.7,0,1.0918,-307,6599,7085,6979,6858,6713,6612,6300,6800,6700,6600,6400,6300,27,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,0,0,0,Millard,UDOT,2097.78252350193
11,0006_088.7,0,1.0924,-1707,7999,8698,8572,8496,8331,8196,6300,7000,6900,6800,6600,6500,27,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,0,0,0,Millard,UDOT,1483.3678444356
12,0006_089.4,0,0.9593,2168,1224,1313,1293,1316,1318,1290,3400,3500,3500,3500,3500,3500,27,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,Millard,UDOT,9271.18666022298
13,0006_093.8,0,0.9593,1753,1018,1166,1339,1058,1095,1161,2800,2900,3100,2800,2800,2900,27,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,0,0,0,Millard,UDOT,12254.8664841561
14,0006_099.7,0,0.984,157,1147,1222,1435,1182,1233,1329,1300,1400,1600,1300,1400,1500,27,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,0,0,0,Millard,UDOT,9797.56789281809
15,0006_104.4,0,0.984,1251,1100,1167,1383,1131,1184,1283,2400,2400,2600,2400,2400,2500,27,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,0,0,0,Millard,UDOT,1823.84537891064
16,0006_105.3,0,0.984,458,280,386,575,284,324,471,750,850,1000,750,800,950,27,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,0,0,0,Millard,UDOT,4660.74819374855
17,0006_107.5,0,0.984,481,257,366,551,261,302,448,750,850,1000,750,800,950,23,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,0,0,0,Juab,UDOT,29250.5651848967
18,0006_121.5,0,0.984,630,265,375,560,270,320,465,900,1000,1200,900,950,1100,23,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,0,0,0,Juab,UDOT,31989.0715966737
19,0006_136.6,0,0.984,600,235,215,216,221,244,303,850,800,800,800,850,900,23,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,0,0,0,Juab,UDOT,3612.70296539152
20,0006_138.4,0,0.984,808,309,342,399,357,461,384,1100,1200,1200,1200,1300,1200,23,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,0,0,0,Juab,UDOT,3056.37987759527
21,0006_139.9,0,0.984,1109,309,342,399,357,461,384,1400,1500,1500,1500,1600,1500,23,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,0,0,0,Juab,UDOT,921.280103515772
22,0006_140.3,0,0.984,478,1314,1423,1610,1692,2101,2368,1800,1900,2100,2200,2600,2800,23,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,Juab,UDOT,1495.4775376747
23,0006_222.1,0,0.9593,1583,6450,6855,6937,7531,8468,9721,8000,8400,8500,9100,10000,11500,7,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,Carbon,UDOT,4612.12223004808
24,0006_224.3,0,0.9593,1881,6152,6537,6622,7184,8066,9251,8000,8400,8500,9100,9900,11000,7,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,Carbon,UDOT,11938.411320566
25,0006_230.0,0,1.0918,2836,7493,7951,8421,8993,10195,11622,10500,11000,11500,12000,13000,14500,7,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,Carbon,UDOT,3630.54057131507
26,0006_231.7,0,1.0918,2422,7907,8388,8882,9466,10656,12145,10500,11000,11500,12000,13000,14500,7,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,Carbon,UDOT,1433.25042472575
27,0006_232.4,0,1.0918,2527,7802,8274,8760,9340,10526,12000,10500,11000,11500,12000,13000,14500,7,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,Carbon,UDOT,286.126844625964
28,0006_232.5,0,1.0918,1958,7802,8274,8760,9340,10526,12000,9800,10000,10500,11500,12500,14000,7,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,Carbon,UDOT,328.913728102414
29,0006_232.7,0,1.0918,7816,6146,6428,6718,7043,7718,8610,14000,14000,14500,15000,15500,16500,7,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,Carbon,UDOT,1399.30381632034
30,0006_233.3,0,1.0918,8239,5976,6233,6495,6772,7371,8207,14000,14500,14500,15000,15500,16500,7,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,Carbon,UDOT,4484.42229201492
31,0006_235.4,0,1.0918,7913,6302,6565,6807,7077,7677,8510,14000,14500,14500,15000,15500,16500,7,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,Carbon,UDOT,772.774895707586
32,0006_235.8,0,1.012,5488,7529,7809,8067,8333,8923,9799,13000,13500,13500,14000,14500,15500,7,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,Carbon,UDOT,895.105717113654
33,0006_236.2,0,1.0918,4256,8659,9171,9639,10179,11358,12843,13000,13500,14000,14500,15500,17000,7,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,Carbon,UDOT,6907.32941921825
34,0006_239.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,Carbon,UDOT,782.323389462066
35,0006_239.9,0,1.0924,2164,9676,10201,10673,11208,12346,13934,12000,12500,13000,13500,14500,16000,7,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,Carbon,UDOT,2601.9171603779
36,0006_241.2,0,1.0918,5497,7557,8108,8480,8799,9710,10964,13000,13500,14000,14500,15000,16500,7,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,Carbon,UDOT,2742.76570998172
37,0006_242.5,0,0.9593,-1877,12737,13296,13691,13973,14877,16464,11000,11500,12000,12000,13000,14500,7,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,Carbon,UDOT,1774.4360368214
38,0006_243.3,0,0.9593,97,10763,11269,11600,11879,12788,14267,11000,11500,11500,12000,13000,14500,7,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,Carbon,UDOT,6691.59673938188
39,0006_246.5,0,1.0918,-1404,10438,10915,11234,11504,12406,13845,9000,9500,9800,10000,11000,12500,7,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,Carbon,UDOT,686.746515019354
40,0006_246.9,0,1.0918,136,8898,9352,9546,9852,10756,12135,9000,9500,9700,10000,11000,12500,7,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,Carbon,UDOT,174.660966965594
41,0006_246.94,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,Carbon,UDOT,4557.03432230272
42,0006_249.1,0,0.9593,-110,9144,9589,9664,9958,10891,12268,9000,9500,9600,9800,11000,12000,7,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,Carbon,UDOT,545.039599154288
43,0006_249.4,0,0.9593,-1038,8553,8990,9182,9519,10453,11819,7500,8000,8100,8500,9400,11000,7,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,Carbon,UDOT,13960.0200173257
44,0006_256.1,0,0.9593,253,6262,6662,7095,7493,8394,9657,6500,6900,7300,7700,8600,9900,7,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,Carbon,UDOT,11922.5194252517
45,0006_261.8,0,0.9593,253,6262,6662,7095,7493,8394,9657,6500,6900,7300,7700,8600,9900,15,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,Emery,UDOT,11182.713702241
46,0006_267.1,0,0.9593,171,6344,6748,7181,7579,8478,9749,6500,6900,7400,7800,8600,9900,15,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,Emery,UDOT,22893.71502194
47,0006_278.1,0,0.9593,-339,6327,6732,7164,7560,8459,9729,6000,6400,6800,7200,8100,9400,15,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,Emery,UDOT,10617.806504172
48,0006_283.2,0,0.9593,-339,6327,6732,7164,7560,8459,9729,6000,6400,6800,7200,8100,9400,15,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,Emery,UDOT,34018.4342012991
49,0006_299.6,0,0.9593,2993,2995,3184,3385,3571,3991,4859,6000,6200,6400,6600,7000,7900,15,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,Emery,UDOT,1659.37914458855
50,0009_044.8,0,0.9574,-6039,6483,6778,7136,7689,8856,9693,450,750,1100,1600,2800,3700,25,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,1,0,1,0,Kane,UDOT,3467.92939228127
51,0009_046.5,0,0.9574,-6048,6492,6788,7150,7702,8871,9709,450,750,1100,1700,2800,3700,25,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,1,0,1,0,Kane,UDOT,21430.163269137
52,0010_000.0,0,0.9593,3154,923,968,1020,1063,1198,1322,4100,4100,4200,4200,4400,4500,41,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,Sevier,UDOT,13660.6140141133
53,0010_006.6,0,0.9593,3141,936,982,1034,1078,1215,1341,4100,4100,4200,4200,4400,4500,15,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,Emery,UDOT,4140.73867703829
54,0010_008.6,0,0.984,1339,947,994,1033,1075,1212,1338,2300,2300,2400,2400,2600,2700,15,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,Emery,UDOT,2302.07349456911
