OBJECTID,SEGID,SUBAREAID,FAC_WDAVG,aadtAdjFactor,M2019,M2023,M2028,M2032,M2042,M2050,MF2019,MF2023,MF2028,MF2032,MF2042,MF2050,CO_FIPS,PLANAREA,F_AREA,ADJHIST,ADJ2019,ADJ2023,ADJ2028,ADJ2032,ADJ2042,ADJ2050,OV_REV,OV_LTPRV,OV_ZERO,OV_HIADJ,OV_50LT19,OV_503X19,OV_FURREV,NOTES,NOTES_FURREV,FL_REV,FL_LTPRV,FL_ZERO,FL_HIADJ,FL_50LT19,FL_503X19,FL_FURREV,CO_NAME,Shape__Length
1,0006_000.0,0,0.984,287,128,101,103,105,109,113,400,400,400,400,400,400,27,UDOT,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,1,0,0,Millard,1379.20690867972
2,0006_000.7,0,0.984,199,216,219,219,218,218,219,400,400,400,400,400,400,27,UDOT,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,1,0,0,Millard,31801.7430939931
3,0006_016.0,0,0.984,338,77,74,71,68,66,63,400,400,400,400,400,400,27,UDOT,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,1,0,0,Millard,62131.8025051329
4,0006_046.0,0,0.984,295,77,74,71,68,66,63,350,350,350,350,350,350,27,UDOT,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,1,0,0,Millard,29438.4587122702
5,0006_060.2,0,0.984,291,81,77,74,71,69,66,350,350,350,350,350,350,27,UDOT,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,1,0,0,Millard,36000.9728265648
6,0006_077.5,0,0.984,328,205,202,201,194,192,192,550,550,550,500,500,500,27,UDOT,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,1,0,0,Millard,11102.7610051912
7,0006_082.9,0,0.984,494,1497,1578,1556,1519,1458,1477,2000,2100,2000,2000,2000,2000,27,UDOT,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,0,0,0,Millard,2107.63460423064
8,0006_083.9,0,0.9593,818,2755,2931,2891,2852,2755,2745,3600,3700,3700,3700,3600,3600,27,UDOT,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,0,0,0,Millard,4249.33691322942
9,0006_085.9,0,0.9593,426,3147,3400,3354,3286,3192,3167,3600,3800,3800,3700,3600,3600,27,UDOT,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,0,0,0,Millard,3621.80243004756
10,0006_087.7,0,1.0918,248,6044,6489,6393,6282,6149,6056,6300,6700,6600,6500,6400,6300,27,UDOT,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,0,0,0,Millard,2097.78252350193
11,0006_088.7,0,1.0924,-1031,7323,7962,7847,7777,7626,7502,6300,6900,6800,6700,6600,6500,27,UDOT,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,0,0,0,Millard,1483.3678444356
12,0006_089.4,0,0.9593,2116,1276,1369,1348,1372,1374,1345,3400,3500,3500,3500,3500,3500,27,UDOT,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,Millard,9271.18666022298
13,0006_093.8,0,0.9593,1710,1061,1215,1396,1103,1142,1210,2800,2900,3100,2800,2900,2900,27,UDOT,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,0,0,0,Millard,12254.8664841561
14,0006_099.7,0,0.984,138,1166,1241,1458,1201,1253,1351,1300,1400,1600,1300,1400,1500,27,UDOT,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,0,0,0,Millard,9797.56789281809
15,0006_104.4,0,0.984,1233,1118,1186,1406,1149,1203,1304,2400,2400,2600,2400,2400,2500,27,UDOT,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,0,0,0,Millard,1823.84537891064
16,0006_105.3,0,0.984,454,284,393,584,288,329,478,750,850,1000,750,800,950,27,UDOT,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,0,0,0,Millard,4660.74819374855
17,0006_107.5,0,0.984,477,261,372,560,265,306,455,750,850,1000,750,800,950,23,UDOT,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,0,0,0,Juab,29250.5651848967
18,0006_121.5,0,0.984,626,269,381,569,275,325,473,900,1000,1200,900,950,1100,23,UDOT,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,0,0,0,Juab,31989.0715966737
19,0006_136.6,0,0.984,597,238,219,220,224,247,308,850,800,800,800,850,900,23,UDOT,UDOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,0,0,0,Juab,3612.70296539152
