OBJECTID,SEGID,SUBAREAID,FAC_WDAVG,FAC_SPR,FAC_FAL,FAC_SPRFAL,aadtAdjFac,DYVOL2019,DYVOL2023,DYVOL2028,DYVOL2032,DYVOL2042,DYVOL2050,M2019,M2023,M2028,M2032,M2042,M2050,MF2019,MF2023,MF2028,MF2032,MF2042,MF2050,CO_FIPS,PLANAREA,F_AREA,ADJHIST,ADJ2019,ADJ2023,ADJ2028,ADJ2032,ADJ2042,ADJ2050,OV_REV,OV_LTPRV,OV_ZERO,OV_HIADJ,OV_50LT19,OV_503X19,OV_FURREV,NOTES,NOTES_FURR,OV_SEG,NOTES_SEG,FL_REV,FL_LTPRV,FL_ZERO,FL_HIADJ,FL_50LT19,FL_503X19,FL_FURREV,FL_SEG,CO_NAME,Shape__Length
1,0006_141.0,1,0.984,1.0276,1.0316,1.0296,-32,1524.0,1655.0,1737.0,1851.0,2094.0,2361.0,1549,1682,1765,1881,2128,2399,1500,1600,1700,1800,2100,2400,49,MAG,MAG,0,0,0,100,0,0,0,0,0,0,0,0,0,0,smoothing,,0,,0,0,0,0,0,0,0,0,Utah,12271.2410149333
2,0006_146.9,1,0.984,1.0276,1.0316,1.0296,-36,1528.0,1661.0,1747.0,1858.0,2098.0,2365.0,1553,1688,1775,1888,2132,2403,1500,1700,1700,1900,2100,2400,49,MAG,MAG,0,0,0,100,0,0,0,0,0,0,0,0,0,0,smoothing,,0,,0,0,0,0,0,0,0,0,Utah,6373.23599497998
3,0006_149.9,1,0.984,1.0276,1.0316,1.0296,857,1558.4,1680.1,2049.6,2056.3,2609.6,5174.6,1584,1707,2083,2090,2652,5259,2400,2600,2900,2900,3500,6100,49,MAG,MAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,large increase in 2050 due to I-15 congestion,,0,,0,0,0,0,0,0,0,0,Utah,1421.83301655553
4,0006_150.6,1,0.984,1.0276,1.0316,1.0296,664,1748.2,1867.2,2241.2,2254.0,2847.4,5398.4,1777,1898,2278,2291,2894,5486,2400,2600,2900,3000,3600,6200,49,MAG,MAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,large increase in 2050 due to I-15 congestion,,0,,0,0,0,0,0,0,0,0,Utah,4137.93923677616
5,0006_152.6,1,0.984,1.0276,1.0316,1.0296,-160,2535.8,2634.8,3002.5,3043.1,3649.3,6000.2,2577,2678,3051,3093,3709,6098,2400,2500,2900,2900,3500,5900,49,MAG,MAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,large increase in 2050 due to I-15 congestion,,0,,0,0,0,0,0,0,0,0,Utah,663.311776810794
6,0006_152.9,1,0.9593,0.9859,1.003,0.99445,-152,3751.9,4045.2,4523.5,4771.9,5414.1,7611.1,3911,4217,4715,4974,5644,7934,3800,4100,4600,4800,5500,7800,49,MAG,MAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,large increase in 2050 due to I-15 congestion,,0,,0,0,0,0,0,0,0,0,Utah,6136.82469224841
7,0006_155.8,1,0.9593,0.9859,1.003,0.99445,-165,3764.6,4058.4,4541.7,4790.5,5437.3,7636.1,3924,4231,4734,4994,5668,7960,3800,4100,4600,4800,5500,7800,49,MAG,MAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,,0,,0,0,0,0,0,0,0,0,Utah,423.843569913577
8,0006_155.9,1,0.9593,0.9859,1.003,0.99445,1803,3046.9,3429.5,3765.9,4012.2,4916.4,6803.7,3176,3575,3926,4182,5125,7092,5000,5400,5700,6000,6900,8900,49,MAG,MAG,0,0,0,0,200,0,0,0,0,0,0,0,0,0,"smoothing, increase in 2050 due to I-15 congestion",,0,,0,0,0,0,0,0,0,0,Utah,2763.62105557339
9,0006_157.3,1,0.9593,0.9859,1.003,0.99445,1032,3786.1,4352.4,5304.2,5965.4,8005.4,10325.4,3947,4537,5529,6218,8345,10763,5000,5600,6600,7200,9400,12000,49,MAG,MAG,0,0,0,0,0,-800,-1500,0,0,0,0,0,0,0,"area type smoothing, increase in 2042, 2050 due to area type change",,0,,0,0,0,0,0,0,0,0,Utah,524.249982233037
10,0006_157.6,1,0.9593,0.9859,1.003,0.99445,631,4171.1,4887.0,5874.8,6525.1,8727.3,10962.3,4348,5094,6124,6802,9098,11427,5000,5700,6800,7400,9700,12000,49,MAG,MAG,0,0,0,0,0,-500,-1000,0,0,0,0,0,0,0,"area type smoothing, increase in 2042, 2050 due to area type change",,0,,0,0,0,0,0,0,0,0,Utah,1928.03909731576
11,0006_158.5,1,1.0918,1.0107,1.0324,1.02155,1052,4287.1,6699.6,7754.6,9859.5,15046.3,14715.2,3927,6136,7103,9031,13781,13478,5000,7200,8200,10000,15000,14500,49,MAG,MAG,0,0,0,0,0,-1500,0,0,0,0,0,0,0,0,"area type smoothing, increase in 2042 due to area type change",,0,,0,0,0,0,0,0,0,0,Utah,991.293698673643
12,0006_158.9,1,1.0918,1.0107,1.0324,1.02155,1047,4292.8,6833.5,8493.1,9015.1,13792.4,12386.1,3932,6259,7779,8257,12633,11345,5000,7300,8800,9300,13500,12500,49,MAG,MAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,smooth,,0,,0,1,0,0,0,0,0,0,Utah,800.099679525207
13,0006_159.3,1,1.0918,1.0107,1.0324,1.02155,1437,5756.4,8114.0,10048.8,10824.3,15969.9,15442.2,5272,7432,9204,9914,14627,14144,6700,8900,10500,11500,16000,15500,49,MAG,MAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,smooth,,0,,0,1,0,0,0,0,0,0,Utah,583.836627606506
14,0006_159.6,1,1.0924,1.0104,1.0243,1.01735,-909,8321.6,10677.3,12786.3,13946.9,20643.4,20845.0,7618,9774,11705,12767,18897,19082,6700,8900,11000,12000,18000,18000,49,MAG,MAG,0,0,0,0,0,-1500,0,0,0,0,0,0,0,0,"smoothing, increase in 2042 due to increased I-15 congestion",,0,,0,0,0,0,0,0,0,0,Utah,474.403382690047
15,0006_159.8,1,1.0924,1.0104,1.0243,1.01735,4194,9243.6,13061.3,14515.0,15520.1,21108.6,21552.4,8462,11957,13287,14207,19323,19729,12500,16000,17500,18500,23500,24000,49,MAG,MAG,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,"smoothing, increase in 2042 due to increased I-15 congestion",,0,,0,0,0,0,0,0,0,0,Utah,934.242349066769
16,0006_160.3,1,1.0918,1.0107,1.0324,1.02155,7046,12947.2,17092.2,19062.4,20391.7,26766.4,27724.9,11859,15655,17460,18677,24516,25394,19000,22500,24500,25500,31500,32500,49,MAG,MAG,0,0,0,0,500,-1000,0,0,0,0,0,0,0,0,"smoothing, increase in 2042 due to increased I-15 congestion",,0,,0,0,0,0,0,0,0,0,Utah,522.554232431242
17,0006_173.4,1,1.1568,1.0112,1.0105,1.01085,-8528,49992.5,55742.6,60888.2,66312.9,75897.9,78473.9,43216,48187,52635,57324,65610,67837,34500,39500,44000,49000,57000,59500,49,MAG,MAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,,0,,0,0,0,0,0,0,0,0,Utah,940.202235896614
18,0006_173.7,1,1.1388,1.0089,1.0098,1.00935,-5996,46331.3,46403.6,50834.3,54317.8,64489.8,65352.4,40684,40748,44638,47697,56630,57387,34500,35000,38500,41500,50500,51500,49,MAG,MAG,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,"smoothing, big jump in 2042 due to lane increase",,0,,0,0,0,0,0,0,0,0,Utah,569.763806077198
19,0006_174.0,1,1.1209,1.0066,1.0091,1.00785,1330,34139.6,35904.5,39643.8,42131.9,54751.9,56326.4,30457,32032,35368,37588,48846,50251,32000,33500,36500,39000,50000,51500,49,MAG,MAG,0,0,0,0,500,-2000,-1000,0,0,0,0,0,0,0,"smoothing, big jump in 2042 due to lane increase",,0,,0,0,0,0,0,0,0,0,Utah,923.35937648857
