SEGID,AADT1981,AADT1982,AADT1983,AADT1984,AADT1985,AADT1986,AADT1987,AADT1988,AADT1989,AADT1990,AADT1991,AADT1992,AADT1993,AADT1994,AADT1995,AADT1996,AADT1997,AADT1998,AADT1999,AADT2000,AADT2001,AADT2002,AADT2003,AADT2004,AADT2005,AADT2006,AADT2007,AADT2008,AADT2009,AADT2010,AADT2011,AADT2012,AADT2013,AADT2014,AADT2015,AADT2016,AADT2017,AADT2018,AADT2019,AADT2020,AADT2021
0006_146.9,975,1000,965,1240,1340,1060,890,830,825,845,900,920,930,1015,1140,1170,1185,1220,1335,1345,1400,1450,1365,1340,1310,1330,1315,1215,1335,1315,1360,1345,1260,1300,1385,1453,1458,1443,1517,1647,1760
0006_149.9,1200,1225,1225,1505,1575,1435,1295,1205,1195,1230,1310,1490,1510,1655,1860,1605,1630,1675,1835,1855,1930,2000,1365,1345,1315,2025,2005,1855,1950,1925,1985,2405,2250,2330,2480,2602,2610,2320,2441,2651,2834
0006_150.6,1200,1225,1225,1505,1575,1435,1295,1205,1195,1230,1310,1490,1510,1655,1860,1605,1630,1675,1835,1855,1930,2000,1365,1345,1315,2025,2005,1855,1950,1925,1985,2405,2250,2330,2480,2602,2610,2320,2441,2651,2834
0006_152.6,1800,1840,1840,2120,2190,2050,1910,,1575,1730,1775,1815,1840,2015,2520,2170,2200,2240,2508,2535,3400,3520,1885,2645,2590,2625,2295,2185,2170,2160,2155,2115,2060,2085,2175,2288,2350,2374,2417,2158,2339
0006_152.9,1800,1840,1840,2120,2190,2050,1910,,1575,1730,1775,1815,1840,2015,2520,2170,2200,2240,2508,2535,3400,3520,1885,2645,3630,3680,3275,2995,2975,2965,2955,2895,2825,2855,2975,3135,3656,3693,3759,3357,3639
0006_155.8,1800,1840,1840,2120,2190,2050,1910,,1575,1730,1775,1815,1840,2015,2520,2170,2200,2240,2508,2535,3400,3520,1885,2645,3630,3680,3275,2995,2975,2965,2955,2895,2825,2855,2975,3135,3656,3693,3759,3357,3639
0006_155.9,1715,1750,1750,2030,2100,1970,1840,1710,1700,1970,2020,2205,2235,2450,3350,2850,2890,2970,3255,3290,3425,5475,5155,5070,4175,4230,4290,3980,3955,3940,3930,4355,4245,4295,4480,4716,4843,4891,4979,4446,4819
0006_157.3,1715,1750,1750,2030,2100,1970,1840,1710,1700,1970,2020,2205,2235,2450,3350,2850,2890,2970,3255,3290,3425,5475,5155,5070,4175,4230,4290,3980,3955,3940,3930,4355,4245,4295,4480,4716,4843,4891,4979,4446,4819
0006_157.6,1715,1750,1750,2030,2100,1970,1840,1710,1700,1970,2020,2205,2235,2450,3350,2850,2890,2970,3255,3290,3425,5475,5155,5070,4175,4230,4290,3980,3955,3940,3930,4355,4245,4295,4480,4716,4843,4891,4979,4446,4819
0006_158.5,1715,1750,1750,2030,2100,1970,1840,1710,1700,1970,2020,2205,2235,2450,3350,2850,2890,2970,3255,3290,3425,5475,5155,5070,4175,4230,4290,3980,3955,3940,3930,4355,4245,4295,4480,4716,4843,4891,4979,4446,4819
